Erstellt als neuer Datensatz;
nm;A
800,0;0,0043
799,0;0,0044
798,0;0,0044
797,0;0,0044
796,0;0,0045
795,0;0,0045
794,0;0,0045
793,0;0,0045
792,0;0,0046
791,0;0,0046
790,0;0,0046
789,0;0,0047
788,0;0,0047
787,0;0,0047
786,0;0,0047
785,0;0,0047
784,0;0,0048
783,0;0,0048
782,0;0,0047
781,0;0,0048
780,0;0,0048
779,0;0,0049
778,0;0,0049
777,0;0,0050
776,0;0,0050
775,0;0,0051
774,0;0,0052
773,0;0,0052
772,0;0,0052
771,0;0,0052
770,0;0,0053
769,0;0,0053
768,0;0,0053
767,0;0,0053
766,0;0,0053
765,0;0,0053
764,0;0,0054
763,0;0,0054
762,0;0,0054
761,0;0,0055
760,0;0,0055
759,0;0,0055
758,0;0,0055
757,0;0,0056
756,0;0,0056
755,0;0,0056
754,0;0,0057
753,0;0,0056
752,0;0,0056
751,0;0,0055
750,0;0,0056
749,0;0,0056
748,0;0,0057
747,0;0,0056
746,0;0,0056
745,0;0,0056
744,0;0,0057
743,0;0,0057
742,0;0,0057
741,0;0,0056
740,0;0,0056
739,0;0,0056
738,0;0,0056
737,0;0,0057
736,0;0,0057
735,0;0,0057
734,0;0,0058
733,0;0,0059
732,0;0,0059
731,0;0,0059
730,0;0,0060
729,0;0,0061
728,0;0,0062
727,0;0,0063
726,0;0,0063
725,0;0,0064
724,0;0,0066
723,0;0,0067
722,0;0,0068
721,0;0,0069
720,0;0,0071
719,0;0,0073
718,0;0,0075
717,0;0,0077
716,0;0,0080
715,0;0,0083
714,0;0,0086
713,0;0,0089
712,0;0,0093
711,0;0,0098
710,0;0,0102
709,0;0,0108
708,0;0,0114
707,0;0,0121
706,0;0,0129
705,0;0,0138
704,0;0,0149
703,0;0,0161
702,0;0,0174
701,0;0,0189
700,0;0,0206
699,0;0,0225
698,0;0,0247
697,0;0,0273
696,0;0,0301
695,0;0,0332
694,0;0,0366
693,0;0,0403
692,0;0,0445
691,0;0,0490
690,0;0,0539
689,0;0,0591
688,0;0,0649
687,0;0,0710
686,0;0,0775
685,0;0,0846
684,0;0,0920
683,0;0,1000
682,0;0,1085
