Erstellt als neuer Datensatz;
nm;A
800,0;0,0042
799,0;0,0043
798,0;0,0044
797,0;0,0045
796,0;0,0046
795,0;0,0046
794,0;0,0047
793,0;0,0048
792,0;0,0048
791,0;0,0049
790,0;0,0050
789,0;0,0051
788,0;0,0052
787,0;0,0052
786,0;0,0053
785,0;0,0054
784,0;0,0055
783,0;0,0056
782,0;0,0057
781,0;0,0057
780,0;0,0058
779,0;0,0060
778,0;0,0061
777,0;0,0062
776,0;0,0063
775,0;0,0065
774,0;0,0067
773,0;0,0068
772,0;0,0069
771,0;0,0071
770,0;0,0073
769,0;0,0074
768,0;0,0076
767,0;0,0078
766,0;0,0080
765,0;0,0082
764,0;0,0085
763,0;0,0087
762,0;0,0089
761,0;0,0092
760,0;0,0095
759,0;0,0097
758,0;0,0100
757,0;0,0103
756,0;0,0106
755,0;0,0108
754,0;0,0112
753,0;0,0115
752,0;0,0118
751,0;0,0122
750,0;0,0127
749,0;0,0131
748,0;0,0135
747,0;0,0139
746,0;0,0143
745,0;0,0147
744,0;0,0152
743,0;0,0158
742,0;0,0164
741,0;0,0170
740,0;0,0177
739,0;0,0184
738,0;0,0191
737,0;0,0199
736,0;0,0207
735,0;0,0215
734,0;0,0225
733,0;0,0234
732,0;0,0244
731,0;0,0255
730,0;0,0267
729,0;0,0280
728,0;0,0293
727,0;0,0306
726,0;0,0320
725,0;0,0334
724,0;0,0350
723,0;0,0366
722,0;0,0383
721,0;0,0402
720,0;0,0422
719,0;0,0442
718,0;0,0465
717,0;0,0490
716,0;0,0517
715,0;0,0547
714,0;0,0579
713,0;0,0615
712,0;0,0655
711,0;0,0698
710,0;0,0746
709,0;0,0798
708,0;0,0859
707,0;0,0925
706,0;0,0999
705,0;0,1082
704,0;0,1175
703,0;0,1282
702,0;0,1402
701,0;0,1535
700,0;0,1685
699,0;0,1852
698,0;0,2046
697,0;0,2262
696,0;0,2502
695,0;0,2768
694,0;0,3058
693,0;0,3380
692,0;0,3730
691,0;0,4109
690,0;0,4520
689,0;0,4966
688,0;0,5449
687,0;0,5963
686,0;0,6515
685,0;0,7106
684,0;0,7730
683,0;0,8388
682,0;0,9076
681,0;0,9804
680,0;1,0569
679,0;1,1359
678,0;1,2134
677,0;1,2913
676,0;1,3691
675,0;1,4457
674,0;1,5181
673,0;1,5838
672,0;1,6442
671,0;1,6987
670,0;1,7467
669,0;1,7852
668,0;1,8153
667,0;1,8379
666,0;1,8532
665,0;1,8618
664,0;1,8622
663,0;1,8564
662,0;1,8463
661,0;1,8325
660,0;1,8156
659,0;1,7962
658,0;1,7751
657,0;1,7522
656,0;1,7276
655,0;1,7015
654,0;1,6752
653,0;1,6477
652,0;1,6189
651,0;1,5899
650,0;1,5602
649,0;1,5299
648,0;1,4984
647,0;1,4665
646,0;1,4343
645,0;1,4025
644,0;1,3712
643,0;1,3401
642,0;1,3098
641,0;1,2812
640,0;1,2546
639,0;1,2298
638,0;1,2065
637,0;1,1850
636,0;1,1653
635,0;1,1475
634,0;1,1313
633,0;1,1169
632,0;1,1049
631,0;1,0951
630,0;1,0876
629,0;1,0822
628,0;1,0786
627,0;1,0770
626,0;1,0772
625,0;1,0787
624,0;1,0812
623,0;1,0847
622,0;1,0890
621,0;1,0938
620,0;1,0989
619,0;1,1040
618,0;1,1088
617,0;1,1131
616,0;1,1164
615,0;1,1186
614,0;1,1195
613,0;1,1189
612,0;1,1164
611,0;1,1115
610,0;1,1044
609,0;1,0952
608,0;1,0837
607,0;1,0698
606,0;1,0529
605,0;1,0340
604,0;1,0130
603,0;0,9903
602,0;0,9660
601,0;0,9395
600,0;0,9121
599,0;0,8836
598,0;0,8548
597,0;0,8265
596,0;0,7983
595,0;0,7714
594,0;0,7453
593,0;0,7200
592,0;0,6958
591,0;0,6717
590,0;0,6488
589,0;0,6267
588,0;0,6053
587,0;0,5850
586,0;0,5651
585,0;0,5461
584,0;0,5278
583,0;0,5101
582,0;0,4931
581,0;0,4766
580,0;0,4612
579,0;0,4464
578,0;0,4322
577,0;0,4189
576,0;0,4060
575,0;0,3937
574,0;0,3819
573,0;0,3706
572,0;0,3599
571,0;0,3495
570,0;0,3397
569,0;0,3302
568,0;0,3209
567,0;0,3120
566,0;0,3033
565,0;0,2948
564,0;0,2866
563,0;0,2786
562,0;0,2710
561,0;0,2635
560,0;0,2562
559,0;0,2491
558,0;0,2420
557,0;0,2350
556,0;0,2281
555,0;0,2214
554,0;0,2148
553,0;0,2082
552,0;0,2017
551,0;0,1953
550,0;0,1890
549,0;0,1830
548,0;0,1771
547,0;0,1713
546,0;0,1658
545,0;0,1604
544,0;0,1553
543,0;0,1504
542,0;0,1457
541,0;0,1411
540,0;0,1368
539,0;0,1327
538,0;0,1287
537,0;0,1250
536,0;0,1214
535,0;0,1181
534,0;0,1149
533,0;0,1119
532,0;0,1090
531,0;0,1063
530,0;0,1039
529,0;0,1016
528,0;0,0995
527,0;0,0976
526,0;0,0959
525,0;0,0943
524,0;0,0929
523,0;0,0916
522,0;0,0904
521,0;0,0892
520,0;0,0883
519,0;0,0874
518,0;0,0866
517,0;0,0859
516,0;0,0853
515,0;0,0847
514,0;0,0842
513,0;0,0838
512,0;0,0835
511,0;0,0833
510,0;0,0830
509,0;0,0828
508,0;0,0826
507,0;0,0824
506,0;0,0822
505,0;0,0820
504,0;0,0818
503,0;0,0816
502,0;0,0813
501,0;0,0809
500,0;0,0806
499,0;0,0802
498,0;0,0796
497,0;0,0790
496,0;0,0784
495,0;0,0778
494,0;0,0770
493,0;0,0762
492,0;0,0754
491,0;0,0744
490,0;0,0735
489,0;0,0726
488,0;0,0716
487,0;0,0706
486,0;0,0695
485,0;0,0684
484,0;0,0673
483,0;0,0661
482,0;0,0649
481,0;0,0638
480,0;0,0626
479,0;0,0614
478,0;0,0603
477,0;0,0592
476,0;0,0580
475,0;0,0569
474,0;0,0558
473,0;0,0547
472,0;0,0536
471,0;0,0524
470,0;0,0514
469,0;0,0504
468,0;0,0493
467,0;0,0482
466,0;0,0472
465,0;0,0462
464,0;0,0451
463,0;0,0441
462,0;0,0431
461,0;0,0420
460,0;0,0411
459,0;0,0401
458,0;0,0392
457,0;0,0382
456,0;0,0373
455,0;0,0363
454,0;0,0354
453,0;0,0344
452,0;0,0335
451,0;0,0326
450,0;0,0317
449,0;0,0308
448,0;0,0299
447,0;0,0290
446,0;0,0282
445,0;0,0273
444,0;0,0264
443,0;0,0256
442,0;0,0249
441,0;0,0242
440,0;0,0234
439,0;0,0227
438,0;0,0220
437,0;0,0213
436,0;0,0207
435,0;0,0201
434,0;0,0195
433,0;0,0188
432,0;0,0182
431,0;0,0177
430,0;0,0172
429,0;0,0167
428,0;0,0161
427,0;0,0158
426,0;0,0154
425,0;0,0150
424,0;0,0146
423,0;0,0143
422,0;0,0141
421,0;0,0139
420,0;0,0138
419,0;0,0137
418,0;0,0136
417,0;0,0137
416,0;0,0138
415,0;0,0140
414,0;0,0144
413,0;0,0149
412,0;0,0153
411,0;0,0159
410,0;0,0166
409,0;0,0175
408,0;0,0185
407,0;0,0197
406,0;0,0208
405,0;0,0221
404,0;0,0235
403,0;0,0248
402,0;0,0261
401,0;0,0273
400,0;0,0282
399,0;0,0293
398,0;0,0300
397,0;0,0305
396,0;0,0310
395,0;0,0313
394,0;0,0314
393,0;0,0313
392,0;0,0309
391,0;0,0306
390,0;0,0303
389,0;0,0298
388,0;0,0293
387,0;0,0291
386,0;0,0283
385,0;0,0277
384,0;0,0273
383,0;0,0267
382,0;0,0265
381,0;0,0261
380,0;0,0260
379,0;0,0260
378,0;0,0252
377,0;0,0253
376,0;0,0250
375,0;0,0248
374,0;0,0247
373,0;0,0245
372,0;0,0242
371,0;0,0242
370,0;0,0240
369,0;0,0235
368,0;0,0235
367,0;0,0237
366,0;0,0240
365,0;0,0241
364,0;0,0243
363,0;0,0250
362,0;0,0256
361,0;0,0267
360,0;0,0276
359,0;0,0284
358,0;0,0295
357,0;0,0311
356,0;0,0324
355,0;0,0339
354,0;0,0356
353,0;0,0375
352,0;0,0393
351,0;0,0413
350,0;0,0433
349,0;0,0455
348,0;0,0478
347,0;0,0507
346,0;0,0538
345,0;0,0573
344,0;0,0612
343,0;0,0657
342,0;0,0708
341,0;0,0768
340,0;0,0836
339,0;0,0912
338,0;0,0997
337,0;0,1089
336,0;0,1194
335,0;0,1301
334,0;0,1408
333,0;0,1515
332,0;0,1621
331,0;0,1717
330,0;0,1803
329,0;0,1875
328,0;0,1935
327,0;0,1982
326,0;0,2021
325,0;0,2050
324,0;0,2075
323,0;0,2098
322,0;0,2120
321,0;0,2146
320,0;0,2179
319,0;0,2215
318,0;0,2256
317,0;0,2302
316,0;0,2355
315,0;0,2417
314,0;0,2487
313,0;0,2572
312,0;0,2676
311,0;0,2806
310,0;0,2980
309,0;0,3194
308,0;0,3455
307,0;0,3766
306,0;0,4125
305,0;0,4540
304,0;0,4992
303,0;0,5484
302,0;0,6014
301,0;0,6572
300,0;0,7138
299,0;0,7706
298,0;0,8264
297,0;0,8793
296,0;0,9268
295,0;0,9646
294,0;0,9935
293,0;1,0126
292,0;1,0205
291,0;1,0171
290,0;1,0008
289,0;0,9749
288,0;0,9417
287,0;0,9047
286,0;0,8665
285,0;0,8268
284,0;0,7881
283,0;0,7502
282,0;0,7135
281,0;0,6775
280,0;0,6406
279,0;0,6073
278,0;0,5747
277,0;0,5434
276,0;0,5139
275,0;0,4864
274,0;0,4648
273,0;0,4446
272,0;0,4284
271,0;0,4169
270,0;0,4020
269,0;0,3985
268,0;0,4093
267,0;0,4274
266,0;0,4800
265,0;0,8533
264,0;1,3225
263,0;1,4759
262,0;1,3089
261,0;1,1301
260,0;0,9037
259,0;0,9085
258,0;0,4673
257,0;-0,0548
256,0;-0,0508
255,0;-0,0535
254,0;-0,0483
253,0;-0,0610
252,0;-0,0698
251,0;-0,0632
250,0;-0,0495
249,0;-0,0714
248,0;-0,0488
247,0;-0,0667
246,0;-0,0728
245,0;-0,0489
244,0;-0,0317
243,0;-0,0423
242,0;-0,0434
241,0;-0,0468
240,0;-0,0506
239,0;-0,0409
238,0;-0,0359
237,0;-0,0590
236,0;-0,0634
235,0;-0,0523
234,0;-0,0586
233,0;-0,0775
232,0;-0,0446
231,0;-0,0312
230,0;-0,0393
229,0;-0,0449
228,0;-0,0346
227,0;-0,0412
226,0;-0,0379
225,0;-0,0276
224,0;-0,0243
223,0;-0,0573
222,0;-0,0704
221,0;-0,0777
220,0;-0,0686
219,0;-0,0416
218,0;-0,0317
217,0;-0,0591
216,0;-0,0633
215,0;-0,0451
214,0;-0,0247
213,0;-0,0424
212,0;-0,0337
211,0;-0,0275
210,0;-0,0438
209,0;-0,0722
208,0;-0,0630
207,0;-0,0210
206,0;-0,0246
205,0;-0,0362
204,0;-0,0394
203,0;-0,0369
202,0;-0,0290
201,0;-0,0347
200,0;-0,0444
